Fiscal Year,2017,2018,2019,2020,2021
Period Ended,31 Mar 2017,31 Mar 2018,31 Mar 2019,31 Mar 2020,31 Mar 2021
Source,Yuho,Yuho,Yuho,Yuho,Yuho
Net Income/Starting Line,242566.00,224292.00,-94711.00,219367.00,160397.00
Depreciation/Depletion,70928.00,71579.00,57924.00,63583.00,63846.00
Non-Cash Items,1174177.00,-244971.00,967137.00,-2735420.00,1417949.00
Cash Taxes Paid,47482.00,49449.00,27204.00,55592.00,35675.00
Changes in Working Capital,-205174.00,-496590.00,-1291515.00,2460438.00,-955309.00
Cash from Operating Activities,1305025.00,-445690.00,-361165.00,-15943.00,665770.00
Capital Expenditures,-312880.00,-285161.00,-319090.00,-206745.00,-119875.00
"Other Investing Cash Flow Items, Total",194829.00,228989.00,206587.00,423081.00,-19151.00
Cash from Investing Activities,-118051.00,-56172.00,-112503.00,216336.00,-139026.00
Total Cash Dividends Paid,-42833.00,-70199.00,-47475.00,-58416.00,-76358.00
"Issuance (Retirement) of Stock, Net",-60937.00,-108332.00,-51401.00,-149724.00,204.00
Cash from Financing Activities,-2130644.00,373168.00,761191.00,332062.00,-269927.00
Foreign Exchange Effects,4249.00,-53504.00,44741.00,-27277.00,60884.00
Net Change in Cash,-939421.00,-182198.00,332264.00,505178.00,317701.00
