Fiscal Year,2018,2019,2020
Period Ended,31 Dec 2018,31 Dec 2019,31 Dec 2020
Source,PROSPECTUS,PROSPECTUS,ARS
Net Income/Starting Line,1187.43,717.86,15946.47
Depreciation/Depletion,628.25,789.21,1069.98
Non-Cash Items,-45.92,71.76,-85.50
Cash Taxes Paid,0,0,0
Changes in Working Capital,-621.80,-242.59,-3322.16
Cash from Operating Activities,1152.50,1342.57,13610.62
Capital Expenditures,-1536.22,-3180.45,-2054.93
"Other Investing Cash Flow Items, Total",242.92,-134.57,3.55
Cash from Investing Activities,-1293.30,-3315.01,-2051.37
Total Cash Dividends Paid,-500.00,0.00,-1785.78
"Issuance (Retirement) of Stock, Net",147.91,165.00,14609.28
Cash from Financing Activities,149.52,1999.88,12035.46
Foreign Exchange Effects,-8.81,-19.45,12.78
Net Change in Cash,-0.08,7.99,23607.49
